"Selection Sort","Insertion Sort"
2848500,189600
2835500,186200
2982400,186100
3867300,186300
4834700,186200
3998200,195700
2936000,181600
3030900,178400
3477000,178400
3002300,178600
3040800,178500
2997400,181700
3308100,178500
2825800,178500
2824500,178300
2856600,178400
2801400,178400
3171700,181700
3347500,178500
4047500,178600
6024000,178400
5778700,178500
5930500,183200
5872200,209800
3734900,179000
2824400,178900
2735000,246900
2840700,253700
2757900,179700
2802100,179300
2824500,178800
2735800,178900
2734100,178700
2827700,182000
2731300,178600
2773800,178400
2734900,178500
2863900,178400
2954600,199000
3212600,178700
2896100,178600
3169400,178400
3022900,178400
2989700,178700
2996600,181600
3024600,178600
3055200,178600
2995600,178600
3085200,178900
3066000,181700
2924500,178500
2951200,178500
2886200,178500
2941700,178600
2728800,178500
2726900,181500
2825400,178400
4615200,178500
4868300,178500
3005600,178300
3071400,181300
4431000,178400
2892700,178400
2838000,178300
2924500,178400
3011200,178400
2946100,181700
2991600,178400
2844600,178300
3067900,178300
2957900,178400
3276500,181400
2830500,178400
2896700,178400
2773000,178400
2923800,185700
2995400,178400
2857100,181600
2849900,178400
2897600,178400
3078200,178400
3209800,178500
3314800,180900
3259700,179300
3345700,178400
3724600,178300
3671300,178400
3459100,178400
3513600,181500
3940500,178500
4073300,178500
3969300,178600
4147600,178500
4105000,178500
4258700,181400
4176300,178500
4184300,178400
4112400,178500
4321900,178500
4047600,181800
5615900,178700
4206000,178500
4022500,178500
4743800,178500
5409200,193300
5348900,174300
5394400,171300
5411700,171300
5494600,171200
5490300,171300
5459900,175900
5431300,173600
5647400,171400
5550700,171300
5458000,171300
5452700,171300
5451000,174400
4652900,171700
4511400,171300
4199800,171300
4806200,171400
7484900,171300
8165800,174400
6053600,171400
4573800,171300
7807200,171200
6981300,171300
3867900,171300
3820900,174300
3850300,171300
4277000,171400
4568400,171300
4901000,171300
4913700,171100
5048700,174200
4989900,171200
4912500,171300
4981700,171300
4959300,171300
4911300,174400
4911600,171200
4963900,171300
4914000,171300
4931300,171300
4983000,171200
4449200,174500
4125200,171300
4126800,171300
5756900,171200
4258000,171200
4194700,171300
4480300,174300
4474700,171300
4126800,171300
4159100,171200
4243100,171300
4339000,171200
4192100,174400
4234700,171400
4165100,171300
4290700,171300
4298100,171300
4324900,171200
4280600,174700
4200800,171300
4206200,171300
4157900,171300
4249900,171200
4192200,174400
4194500,171300
4317400,171300
4206800,171400
4208400,171300
4209400,171200
4287400,174300
4206700,171300
4194500,171200
4323800,171200
4263900,171400
4157700,171200
4194200,174200
4225000,171300
4227900,171200
4175000,171300
4126000,171300
5313500,171300
6221600,174400
4220900,171300
4563700,171400
4168600,171200
4199100,171300
4167600,171400
4139500,174200
4136800,171400
4173100,171200
4193700,171400
4137700,171400
4139400,174300
4416500,206600
4259600,171500
4137800,184100
4164200,171700
4167600,171700
4157700,196400
4144600,171600
4155000,171700
4166500,171400
4154400,171400
4137300,201700
4140800,165100
4215100,165000
4110500,165000
4065700,164800
3979500,164700
4218100,180400
3951100,160600
4122000,158700
4360300,158500
4100900,158600
4032900,158600
4138000,158500
4153600,181900
4190300,164700
4129000,164700
4125600,164700
4129300,164700
4182900,186000
4142600,171400
4125100,171300
4124700,171300
4181100,171200
4126400,171300
4126800,174300
4126200,171300
4315400,171200
4131800,171300
4127200,171200
4225800,171300
4373700,174300
4176800,171300
4298500,171300
4294700,171300
4255200,171300
4194800,171300
4128100,174200
6241000,171300
4337100,171200
4300700,171300
4394500,171300
4351600,171300
4301600,174100
4298800,171400
4357200,171300
4352900,171400
4299200,171400
4366300,174400
4300400,171500
4350000,171500
4298900,171500
4312200,171400
4297900,171200
4343900,174400
4313800,171400
4368100,171400
4470600,171300
4331500,171400
4332600,171400
4299300,174500
4215000,171600
4082700,171500
4047900,171300
3967800,171800
3967200,171300
4102700,188200
4816500,164800
4838600,164800
4070100,164800
4027200,164800
4076100,164800
4061900,188500
4039400,171300
4087500,171300
4620500,171300
3901000,171300
3737000,174300
4445600,171400
4195600,171400
4126900,171300
4156700,171300
4324200,171300
4215500,179800
4125400,171900
4355500,171600
4315300,175500
3793800,171900
3494700,171600
3255300,174800
3105900,182200
2922200,165000
3003200,164700
3294700,164800
3707700,164700
9198500,179100
5485100,158700
4517000,158700
4403200,158700
4375400,158700
4298500,158600
4338800,178800
4297100,164900
4296700,164800
4463200,164800
4367700,164700
4301200,164800
4298900,183900
4503800,171400
4416600,171400
6329200,171300
8285800,171500
9009300,171300
9185000,193900
7421200,178500
4560200,178500
4095300,178500
3973500,178400
4029000,181500
4260100,178500
4318800,178600
4021000,178600
3598100,178400
3452100,192700
3490300,174200
3495500,171400
3499300,171400
3453900,171300
3555200,171500
3762100,174400
3878400,171400
3577600,171500
3786300,171300
3766800,171200
4112200,171300
4181400,174400
4104600,171400
4472900,171400
4143800,171400
3625100,171500
3543700,171500
4084100,175200
3846700,171400
3622700,171300
3258500,171400
3198000,171500
2965300,171500
3020300,174300
3392400,171600
4309000,171300
2918700,171300
2908700,171300
2973800,174300
3082800,171300
2930500,171300
3234400,171300
2838600,171300
3014300,171300
3226000,174200
2837900,171400
2992100,171200
2953600,171400
3210800,171400
3528500,171400
3256700,174500
3199400,171300
3176800,171300
3393600,176900
3908500,171400
3253000,171300
3123500,174500
3391600,171300
3381300,171400
3905800,171400
3149000,171400
3029600,171400
3331700,194400
3551600,171600
4167200,171400
3476800,171700
3450400,171300
3780200,190900
4381500,198100
3846300,254400
3695200,186500
4038000,191800
4470100,184600
4382700,190800
4209500,221900
4861300,171800
5594400,171800
5206200,175200
5400300,212200
5532300,240400
5223700,173900
4459500,165200
4305200,165100
4086300,205400
3486900,171800
3347600,190400
3318700,189800
4815900,188700
2941800,209300
2872400,213700
2960300,178900
3341400,178700
3444800,178800
3332900,194400
3909900,171600
6158900,189800
5082100,206000
4558300,190200
4802000,209000
5269700,193700
5184900,202300
5251200,201300
5341300,171600
5442100,171700
5244600,174700
5158900,171500
5223400,171400
4520000,171400
4500400,171300
4405200,174600
4276400,171400
4264100,171500
4125900,199500
4175100,171500
4157500,171500
4336300,234800
4127600,171600
4345600,171600
4262100,171300
4193500,191200
4128000,174800
4178300,191800
4242700,177200
4125400,171500
4203400,171400
